2025-01-14,746913
2024-07-13,89240
2024-03-18,166045
2024-03-07,223304
2023-10-04,3598534
2024-10-25,1532264
2023-06-07,1043941
2023-11-26,1124996
2024-09-10,1541823
2024-07-18,111149
2023-02-02,51121
2023-06-18,823395
2023-09-30,2602047
2023-08-24,3878861
2024-06-18,176206
2023-02-26,6670
2024-09-01,16596578
2022-11-26,197
2023-01-16,94602
2023-07-17,2418826
2023-05-29,1370905
2023-06-21,3736757
2024-01-16,273545
2023-11-10,1809781
2024-10-23,2373163
2024-12-30,501423
2024-07-31,163797
2024-10-03,489169
2023-03-01,1047403
2025-01-02,505297
2024-12-08,1399568
2023-02-17,17425
2023-09-25,2772111
2024-07-27,125544
2023-03-14,97864
2023-05-24,1824581
2024-10-31,916627
2023-02-22,4995
2024-02-15,652963
2024-08-17,814995
2024-06-13,779061
2022-12-19,32
2024-02-25,350732
2024-01-05,509940
2023-07-12,2268113
2023-12-09,899028
2023-04-09,566020
2024-05-04,104692
2024-03-16,155452
2023-07-07,3917419
2023-05-03,5614933
2023-04-10,1078615
2023-03-15,36429
2023-02-12,269
2025-01-04,411908
2023-02-11,223
2024-03-31,119751
2024-02-07,24452959
2023-08-16,3241253
2023-10-06,3158971
2024-10-08,959693
2024-10-13,501815
2025-01-20,765548
2023-03-12,57514
2024-12-17,776087
2023-05-15,2873917
2024-05-26,188500
2022-12-14,15522
2022-12-16,2852
2024-04-27,130465
2023-08-29,2846769
2024-07-15,124735
2023-03-21,20453
2023-01-08,501
2025-01-30,158780
2024-10-11,888515
2023-09-18,3669903
2023-12-29,781577
2024-02-18,660396
2024-12-15,866479
2023-07-21,1258001
2024-03-13,213725
2025-01-28,264293
2023-08-15,3202445
2023-08-31,3588849
2024-03-08,423004
2023-06-09,1246124
2024-12-07,1398690
2024-04-08,4234103
2024-08-02,108619
2023-04-01,35176
2023-01-02,1336
2024-08-14,1321467
2022-12-17,157
2024-11-10,20286042
2024-09-18,800556
2023-08-30,3015868
2023-08-21,3858159
2023-12-28,677617
2023-04-24,2676183
2023-04-22,1209495
2024-05-07,286284
2023-04-05,25583
2024-03-24,131012
2023-10-17,2294315
2024-09-02,10590144
2024-12-24,407392
2023-06-04,563224
2023-04-16,148973
2024-03-06,230487
2023-04-23,2610058
2024-02-02,583611
2024-07-25,120815
2024-03-30,91664
2023-09-06,2511096
2023-05-22,1766259
2024-10-02,460478
2024-07-04,144606
2024-04-21,171244
2023-04-28,13283326
2023-07-16,1132745
2025-02-01,54722
2023-05-27,1382068
2025-01-27,342182
2024-06-20,119260
2024-08-01,109858
2023-03-17,37766
2024-11-01,766507
2024-07-19,74798
2023-09-12,3263636
2024-09-07,1700047
2023-05-13,2530874
2023-04-19,1682606
2025-01-03,504436
2023-05-02,7641366
2023-01-31,7836
2023-08-07,3183898
2023-11-27,1019977
2024-04-24,153237
2023-11-16,1169549
2023-02-10,441
2024-08-08,435489
2024-09-04,4696574
2023-08-01,3407665
2023-04-15,669792
2024-12-09,1395331
2023-11-07,1494240
2024-08-25,310613
2024-05-09,151946
2024-12-29,452804
2023-03-24,5852
2023-03-09,232589
2023-06-17,798259
2023-09-20,8288545
2024-09-14,911448
2024-07-29,94449
2024-05-21,114576
2023-07-22,1031172
2023-11-29,1416141
2023-05-18,2018653
2024-04-07,9209659
2022-12-15,1365
2023-11-20,1622803
2023-05-14,1466571
2024-04-29,200966
2024-06-17,316678
2024-09-20,595861
2023-03-20,35166
2024-10-16,1430223
2023-05-04,5393665
2024-09-03,7577671
2025-01-26,393542
2023-10-07,2889458
2023-07-19,1445202
2023-07-11,1594978
2024-01-14,203586
2022-12-06,779
2023-12-17,885838
